no	state	constituency	nameofelectedmp	partyaffiliation
157	Karnatka	Bagalkot	P. C. Gaddigoudar	Bharatiya Janata Party
158	Karnatka	Bijapur	Ramesh Jigajinagi	Bharatiya Janata Party
159	Karnatka	Gulbarga	Umesh. G. Jadhav	Bharatiya Janata Party
160	Karnatka	Raichur	Raja Amareswara Naik	Bharatiya Janata Party
161	Karnatka	Bidar	Bhagwanth Khuba	Bharatiya Janata Party
162	Karnatka	Koppal	Karadi Sanganna Amarappa	Bharatiya Janata Party
163	Karnatka	Bellary	Y. Devendrappa	Bharatiya Janata Party
164	Karnatka	Haveri	Shivkumar Chanabasappa Udasi	Bharatiya Janata Party
165	Karnatka	Dharwad	Pralhad Joshi	Bharatiya Janata Party
166	Karnatka	Uttara Kannada	Anant Kumar Hegde	Bharatiya Janata Party
167	Karnatka	Davanagere	G. M. Siddeshwara	Bharatiya Janata Party
168	Karnatka	Shimoga	B. Y. Raghavendra	Bharatiya Janata Party
169	Karnatka	Udupi Chikmagalur	Shobha Karandlaje	Bharatiya Janata Party
170	Karnatka	Hassan	Prajwal Revanna	Janata Dal (Secular)
171	Karnatka	Dakshina Kannada	Nalin Kumar Kateel	Bharatiya Janata Party
172	Karnatka	Chitradurga	A. Narayanswamy	Bharatiya Janata Party
173	Karnatka	Tumkur	G. S. Basavaraj	Bharatiya Janata Party
174	Karnatka	Mandya	Sumalatha Ambareesh	Independent
175	Karnatka	Mysore	Pratap Simha	Bharatiya Janata Party
176	Karnatka	Chamarajanagar	Srinivas Prasad	Bharatiya Janata Party
177	Karnatka	Bangalore Rural	D. K. Suresh	Indian National Congress
178	Karnatka	Bangalore North	D. V. Sadananda Gowda	Bharatiya Janata Party
179	Karnatka	Bangalore Central	P. C. Mohan	Bharatiya Janata Party
180	Karnatka	Bangalore South	Tejasvi Surya	Bharatiya Janata Party
181	Karnatka	Chikballapur	B. N. Bache Gowda	Bharatiya Janata Party
182	Karnatka	Kolar	S. Muniswamy	Bharatiya Janata Party
183	Kerala	Kasaragod	Rajmohan Unnithan	Indian National Congress
184	Kerala	Kannur	K. Sudhakaran	Indian National Congress
185	Kerala	Vatakara	K. Muraleedharan	Indian National Congress
186	Kerala	Wayanad	Rahul Gandhi	Indian National Congress
187	Kerala	Kozhikode	M. K. Raghavan	Indian National Congress
188	Kerala	Malappuram	P. K. Kunhalikutty	Indian Union Muslim League
189	Kerala	Ponnani	E. T. Muhammed Basheer	Indian Union Muslim League
190	Kerala	Palakkad	V. K. Sreekandan	Indian National Congress
191	Kerala	Alathur	Ramya Haridas	Indian National Congress
192	Kerala	Thrissur	T. N. Prathapan	Indian National Congress
193	Kerala	Chalakudy	Benny Behanan	Indian National Congress
194	Kerala	Ernakulam	Hibi Eden	Indian National Congress
195	Kerala	Idukki	Dean Kuriakose	Indian National Congress
196	Kerala	Kottayam	Thomas Chazhikadan	Kerala Congress (M)
197	Kerala	Alappuzha	A. M. Ariff	Communist Party of India (Marxist)
198	Kerala	Mavelikara	Kodikunnil Suresh	Indian National Congress
199	Kerala	Pathanamthitta	Anto Antony	Indian National Congress
200	Kerala	Kollam	N. K. Premachandran	Revolutionary Socialist Party
201	Kerala	Attingal	Adoor Prakash	Indian National Congress
202	Kerala	Thiruvananthapuram	Shashi Tharoor	Indian National Congress
203	Madhya Pradesh	Morena	Narendra Singh Tomar	Bharatiya Janata Party
204	Madhya Pradesh	Bhind	Sandhya Ray	Bharatiya Janata Party
205	Madhya Pradesh	Gwalior	Vivek Sejwalker	Bharatiya Janata Party
206	Madhya Pradesh	Guna	Krishna Pal Singh	Bharatiya Janata Party
207	Madhya Pradesh	Sagar	Raj Bahadur Singh	Bharatiya Janata Party
208	Madhya Pradesh	Tikamgarh	Virendra Kumar	Bharatiya Janata Party
209	Madhya Pradesh	Damoh	Prahlad Singh Patel	Bharatiya Janata Party
210	Madhya Pradesh	Khajuraho	V. D. Sharma	Bharatiya Janata Party
211	Madhya Pradesh	Satna	Ganesh Singh	Bharatiya Janata Party
212	Madhya Pradesh	Rewa	Janardan Mishra	Bharatiya Janata Party
213	Madhya Pradesh	Sidhi	Riti Pathak	Bharatiya Janata Party
214	Madhya Pradesh	Shahdol	Himadri Singh	Bharatiya Janata Party
215	Madhya Pradesh	Jabalpur	Rakesh Singh	Bharatiya Janata Party
216	Madhya Pradesh	Mandla	Faggan Singh Kulaste	Bharatiya Janata Party
217	Madhya Pradesh	Balaghat	Dhal Singh Bisen	Bharatiya Janata Party
218	Madhya Pradesh	Chhindwara	Nakul Nath	Indian National Congress
219	Madhya Pradesh	Hoshangabad	Uday Pratap Singh	Bharatiya Janata Party
220	Madhya Pradesh	Vidisha	Ramakant Bhargava	Bharatiya Janata Party
221	Madhya Pradesh	Bhopal	Pragya Thakur	Bharatiya Janata Party
222	Madhya Pradesh	Rajgarh	Rodmal Nagar	Bharatiya Janata Party
223	Madhya Pradesh	Dewas	Mahendra Singh Solanki	Bharatiya Janata Party
224	Madhya Pradesh	Ujjain	Anil Firojiya	Bharatiya Janata Party
225	Madhya Pradesh	Mandsour	Sudheer Gupta	Bharatiya Janata Party
226	Madhya Pradesh	Ratlam	Guman Singh Damor	Bharatiya Janata Party
227	Madhya Pradesh	Dhar	Chattar Singh Darbar	Bharatiya Janata Party
228	Madhya Pradesh	Indore	Shankar Lalwani	Bharatiya Janata Party
229	Madhya Pradesh	Khargone	Gajendra Patel	Bharatiya Janata Party
230	Madhya Pradesh	Khandwa	Nandkumar Singh Chauhan	Bharatiya Janata Party
231	Madhya Pradesh	Betul	Durga Das Uikey	Bharatiya Janata Party
232	Maharashtra	Nandurbar	Heena Gavit	Bharatiya Janata Party
233	Maharashtra	Dhule	Subhash Bhamre	Bharatiya Janata Party
234	Maharashtra	Jalgaon	Unmesh Patil	Bharatiya Janata Party
235	Maharashtra	Raver	Raksha Khadase	Bharatiya Janata Party
236	Maharashtra	Buldhana	Prataprao Ganpatrao Jadhav	Shiv Sena
237	Maharashtra	Akola	Sanjay Shamrao Dhotre	Bharatiya Janata Party
238	Maharashtra	Amravati	Navaneet Kaur	Independent
239	Maharashtra	Wardha	Ramdas Tadas	Bharatiya Janata Party
240	Maharashtra	Ramtek	Krupal Tumane	Shiv Sena
241	Maharashtra	Nagpur	Nitin Gadkari	Bharatiya Janata Party
242	Maharashtra	Bhandara–Gondiya	Sunil Baburao Mendhe	Bharatiya Janata Party
243	Maharashtra	Gadchiroli–Chimur	Ashok Nete	Bharatiya Janata Party
244	Maharashtra	Chandrapur	Suresh Dhanorkar	Indian National Congress
245	Maharashtra	Yavatmal–Washim	Bhavana Gawali	Shiv Sena
246	Maharashtra	Hingoli	Hemant Sriram Patil	Shiv Sena
247	Maharashtra	Nanded	Prataprao Govindrao Chikhalikar	Bharatiya Janata Party
248	Maharashtra	Parbhani	Sanjay Haribhau Jadhav	Shiv Sena
249	Maharashtra	Jalna	Raosaheb Danve	Bharatiya Janata Party
250	Maharashtra	Aurangabad	Imtiyaz Jaleel	All India Majlis-e-Ittehadul Muslimeen
251	Maharashtra	Dindori	Bharati Pawar	Bharatiya Janata Party
252	Maharashtra	Nashik	Hemant Godse	Shiv Sena
253	Maharashtra	Palghar	Rajendra Gavit	Shiv Sena
254	Maharashtra	Bhiwandi	Kapil Moreshwar Patil	Bharatiya Janata Party
255	Maharashtra	Kalyan	Shrikant Shinde	Shiv Sena
256	Maharashtra	Thane	Rajan Vichare	Shiv Sena
257	Maharashtra	Mumbai North	Gopal Shetty	Bharatiya Janata Party
258	Maharashtra	Mumbai North West	Gajanan Kirtikar	Shiv Sena
259	Maharashtra	Mumbai North East	Manoj Kotak	Bharatiya Janata Party
260	Maharashtra	Mumbai North Central	Poonam Mahajan	Bharatiya Janata Party
261	Maharashtra	Mumbai South Central	Rahul Shewale	Shiv Sena
262	Maharashtra	Mumbai South	Arvind Sawant	Shiv Sena
263	Maharashtra	Raigad	Sunil Tatkare	Nationalist Congress Party
264	Maharashtra	Maval	Shrirang Chandu Barne	Shiv Sena
265	Maharashtra	Pune	Girish Bapat	Bharatiya Janata Party
266	Maharashtra	Baramati	Supriya Sule	Nationalist Congress Party
267	Maharashtra	Shirur	Amol Kolhe	Nationalist Congress Party
268	Maharashtra	Ahmednagar	Sujay Vikhe Patil	Bharatiya Janata Party
269	Maharashtra	Shirdi	Sadashiv Lokhande	Shiv Sena
270	Maharashtra	Beed	Pritam Munde	Bharatiya Janata Party
271	Maharashtra	Osmanabad	Omraje Nimbalkar	Shiv Sena
272	Maharashtra	Latur	Sudhakar Bhalerao Shrungare	Bharatiya Janata Party
273	Maharashtra	Solapur	Jaisidhesvar Swami	Bharatiya Janata Party
274	Maharashtra	Madha	Ranjit Naik-Nimbalkar	Bharatiya Janata Party
275	Maharashtra	Sangli	Sanjaykaka Patil	Bharatiya Janata Party
276	Maharashtra	Satara	Udayanraje Bhosale	Nationalist Congress Party
				
			(Resigned on 14 September 2019)	
			Vacant	
277	Maharashtra	Ratnagiri–Sindhudurg	Vinayak Raut	Shiv Sena
278	Maharashtra	Kolhapur	Sanjay Mandlik	Shiv Sena
279	Maharashtra	Hatkanangle	Dhairyashil Mane	Shiv Sena
280	Manipur	Inner Manipur	Rajkumar Ranjan Singh	Bharatiya Janata Party
